Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
torso,0.044667,0.0065376,0.086027,0,0,0,6.5572,0.032602,1.1848E-05,3.1311E-05,0.019797,2.6192E-05,0.024673,0,0,0,0,0,0,package://JROwheel-changed2/meshes/torso.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://JROwheel-changed2/meshes/torso.STL,,torso-2,torso_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
torso2,-0.10557,-0.13,0.0083442,0,0,0,3.4899,0.015981,4.9548E-09,5.8841E-06,0.0044728,-1.0555E-05,0.011843,0,0,0,0,0,0,package://JROwheel-changed2/meshes/torso2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://JROwheel-changed2/meshes/torso2.STL,,torso2-1,left_cs,lhip_axis,torso2,fixed,0.082539,0.13,-0.11,0,0,0,torso,0,0,0,0,0,0,0,,,,,,,,
lhip,-0.0125201384578664,0.0399894547502572,-6.15747819688317E-05,0,0,0,1.7566644178003,0.00211446142389904,-0.000212002370481588,4.80251206641522E-06,0.0037169313281689,3.84977487642302E-06,0.00229599753407357,0,0,0,0,0,0,package://JROwheel-changed2/meshes/lhip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://JROwheel-changed2/meshes/lhip.STL,,lhip-1,left_cs,lfem_axis,lhiproll,revolute,0,0,0,0,0,0,torso2,0,1,0,0,0,0,0,,,,,,,,
lfem,0.00431829859294336,-0.0260704036595544,-0.0529236797367638,0,0,0,2.78718526307789,0.014798738701089,6.65737346637375E-06,0.000457867893997346,0.0169699921545702,-8.32569784575037E-05,0.00241738203960554,0,0,0,0,0,0,package://JROwheel-changed2/meshes/lfem.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://JROwheel-changed2/meshes/lfem.STL,,lfem-1,left_cs,lfem_axis,lfempitch,revolute,0,0,0,0,0,0,lhip,0,1,0,0,0,0,0,,,,,,,,
ltib,0.00222129012704841,-0.00446929118488797,-0.237933879438989,0,0,0,1.0500564212854,0.00669102072634513,-2.62624569769292E-06,-0.000128018444544815,0.00717150650357901,-7.249651526383E-05,0.000533923011360938,0,0,0,0,0,0,package://JROwheel-changed2/meshes/ltib.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://JROwheel-changed2/meshes/ltib.STL,,ltib-1,ltib_cs,ltib_axis,ltibpitch,revolute,0,-0.006,-0.3,0,0,0,lfem,0,-1,0,0,0,0,0,,,,,,,,
lwheel,2.72079830887506E-10,0.0363483801786504,8.53749737572684E-10,0,0,0,1.69025385505878,0.0117193109453085,4.1268519905633E-13,3.12545948594634E-13,0.0229939272136885,-1.23953444622175E-11,0.0117193109477233,0,0,0,0,0,0,package://JROwheel-changed2/meshes/lwheel.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://JROwheel-changed2/meshes/lwheel.STL,,lwheel-2,lwheel_cs,lwheel_axis,lwheelrot,revolute,0,0.0205,-0.3,0,0,0,ltib,0,-1,0,0,0,0,0,,,,,,,,
rhip,-0.0127300857649624,-0.0391501592906745,-5.8016791812443E-05,0,0,0,1.72822168389623,0.00210292793775623,0.000211672649183785,4.48387142155013E-06,0.00369281489887204,-3.73882346221139E-06,0.00228314765897392,0,0,0,0,0,0,package://JROwheel-changed2/meshes/rhip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://JROwheel-changed2/meshes/rhip.STL,,rhip-1,right_cs,rhip_axis,rhiproll,revolute,0,-0.26,0,0,0,0,torso2,-1,0,0,0,0,0,0,,,,,,,,
rfem,0.00435727630116864,0.0260084043812507,-0.0531314385053565,0,0,0,2.79196552226866,0.014844757177216,-7.0670834403331E-06,0.000460436674581768,0.0170273488288543,8.5065642559335E-05,0.00242917889669735,0,0,0,0,0,0,package://JROwheel-changed2/meshes/rfem.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://JROwheel-changed2/meshes/rfem.STL,,rfem-1,right_cs,rfem_axis,rfempitch,revolute,0,0,0,0,0,0,rhip,0,-1,0,0,0,0,0,,,,,,,,
rtib,0.00222167381126098,0.00446933316072368,-0.237952147571989,0,0,0,1.05005403529975,0.00669102637153512,2.62309855001505E-06,-0.000127735757505603,0.00717151107801388,7.25432257745427E-05,0.000533921708042373,0,0,0,0,0,0,package://JROwheel-changed2/meshes/rtib.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://JROwheel-changed2/meshes/rtib.STL,,rtib-1,rtib_cs,rtib_axis,rtibpitch,revolute,0,0.006,-0.3,0,0,0,rfem,0,1,0,0,0,0,0,,,,,,,,
rwheel,4.0525E-07,-0.036348,-5.8561E-10,0,0,0,1.6903,0.011719,-1.2549E-07,-8.7558E-13,0.022994,-1.2496E-11,0.011719,0,0,0,0,0,0,package://JROwheel-changed2/meshes/rwheel.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://JROwheel-changed2/meshes/rwheel.STL,,rwheel-2,rwheel_cs,rwheel_axis,rwheelrot,revolute,0,-0.0205,-0.3,0,0,-1.1131E-05,rtib,-1.1131E-05,1,0,0,0,0,0,,,,,,,,
